User Account,Followers,Tweets,Retweets,Text,Date,Location,Hashtags,Sentiment,Category
AccurateWriter_,472,14942,1,"pay somebody to do your
homework
html
history
biology
chemistry
javascript
coding
case study
nursing
music
iot",2023-02-16 23:06:36+00:00,"Greensboro, NC","['html', 'javascript', 'coding', 'iot']",neutral,Other
assignment78,107,2369,0,"hey

hire us to help you with 
power bi
discussion
us history
black board
time series
probability 
regression ana",2023-02-16 23:00:12+00:00,"New Jersey, USA",[],negative,Power BI
JKerski,500,1127,2,videos were finalized last week  now i just need to wait patiently for the powerbisummit a virtual conference fr,2023-02-16 22:31:00+00:00,Washington D.C.,['PowerBISummit'],neutral,Other
sellsidecfo,248,160,0,aidriven data cleanup  power bi tools that automate reporting so much time is wasted trying to,2023-02-16 22:11:23+00:00,"Pittsburgh, PA",[],neutral,Power BI
opalbiz,18,579,0,some guy named chris aka our vp of technology is sharing his power platform knowledge on his new youtube chan,2023-02-16 22:10:05+00:00,"McMurray, PA",[],positive,Other
OracleAnalytics,30683,13428,0,ensure consistent numbers whether reporting from oracleanalytics or power bi  use oac as a data source for,2023-02-16 22:00:02+00:00,"Austin, TX","['OracleAnalytics', 'OAC']",positive,Power BI
jdanton,3446,222788,0,we have a power bi dashboard for when people hit that button,2023-02-16 21:42:45+00:00,"Malvern, Pennsylvania, USA",[],neutral,Power BI
KerryKolosko,1401,1431,0,hopefully this helps,2023-02-16 21:40:36+00:00,Australia,[],neutral,Other
manpreethere,3608,55973,0,excited to announce  as our speaker for the global power platform bootcamp 2023 being hosted at,2023-02-16 21:18:50+00:00,Philadelphia,[],positive,Other
diddyfancy,153,755,0,first of all i got into this power bi stuff and im here bruh there is nothing you cant do,2023-02-16 20:49:36+00:00,"Dallas, TX",[],positive,Power BI
thee_prof1,179,26660,1,"we write business plan
dissertation reports 
grant writing
literature review
market research
proof reading
reflect",2023-02-16 20:48:02+00:00,"Los Angeles, CA",['Business'],neutral,Other
